created_at,tweet,username
2017-10-30 16:34:58+00:00,Hola. Quería avisarles que ahora no pasan los lunes. Dos lunes de seguido ya van.,RaulKlee
2017-10-30 16:33:26+00:00,Esto sigue igual... miles de litros de agua potable se pierde...pic.twitter.com/qYobfVHIhk,ccalderini
2017-10-30 16:31:55+00:00,Hay una gigantigrafía política en España casi Sacramento! A destiempo supongo tmbn,GracielaArceD
2017-10-30 16:25:14+00:00,Van a sacar o pintar tb las dos Hugo Ramirez verdad?,veroncarlos
2017-10-30 16:24:46+00:00,Gracias   por el apoyo constante! Lunes 6 de noviembre con el diario   G. 35.000. ¡No te lo pierdas!  &,eltiemponublado
2017-10-30 16:24:41+00:00,Hay que andar unas cuantas cuadras y ya se ven todo tipo de publicidad electoral fuera de tiempo. No ve el que no quiere,plortuoste
2017-10-30 16:22:49+00:00,ubicación de la que vi era Mcal. López trayecto entre Kubitchek y San Martín viniendo del centro.,mGranitoDeArena
2017-10-30 16:20:05+00:00,"Sí, porque de ser ilegal, es totalmente descarado! cartel electrónico luminoso, gigante exhibiendo propaganda electoral del partido colorado",mGranitoDeArena
2017-10-30 16:18:26+00:00,Eso mismo! No se debe esperar la buena Voluntad!,MartStrub
2017-10-30 16:18:12+00:00,Esto debería hacer la gente o multarle al candidato en cuestión. Xq la Municipalidad tiene que hacer ese trabajo?????,roquejara2
2017-10-30 16:17:28+00:00,Copiado.,pmtasuncion1
2017-10-30 16:16:02+00:00,Buenisimo! Por notificación a las empresas de medios solicitaran que se saque de las pantallas gigantes y carteleria? Por favor.,ninjajusto
2017-10-30 16:12:02+00:00,Tienen que multar a las empresas que firman contratos con los candidatos con publicidad en leds y con ilumación,ariel_gamarra
2017-10-30 16:10:52+00:00,Pase un poco por la avenida españa y sacramento,ariel_gamarra
2017-10-30 16:10:32+00:00,  Pregunto: no incluye tbn cartelería luminosa? He visto de esa propaganda en carteles lumiosos sobre Mcal. López hoy.,mGranitoDeArena
