name,frequency,mean_age
ANTONIO,715215,54.6
JOSE,641525,60
MANUEL,618891,54
FRANCISCO,530309,56
JUAN,367726,54.9
DAVID,359930,28.3
JOSE ANTONIO,316275,47.3
JAVIER,303247,30.9
JOSE LUIS,301752,51
FRANCISCO JAVIER,289325,42
DANIEL,287431,25.6
JESUS,285447,47
CARLOS,279356,37.1
MIGUEL,255008,45.7
ALEJANDRO,250968,24.1
JOSE MANUEL,246170,44.8
RAFAEL,244201,49.2
PEDRO,236128,52.5
MIGUEL ANGEL,228444,41.1
ANGEL,227241,49.4
JOSE MARIA,216373,52
FERNANDO,209826,47
PABLO,209241,26.2
LUIS,202754,51.1
SERGIO,202312,26
JORGE,190500,32.2
ALBERTO,179981,34.8
JUAN CARLOS,161182,42.7
JUAN JOSE,156691,46.5
ALVARO,150158,20.4
DIEGO,147597,31.5
ADRIAN,144663,17.3
RAUL,138561,28.9
JUAN ANTONIO,137040,46.7
ENRIQUE,134465,48.3
RAMON,131186,56.2
IVAN,130620,22.8
VICENTE,128141,57.3
RUBEN,125246,24.9
OSCAR,121969,31.5
ANDRES,119971,46
JOAQUIN,118155,52.7
JUAN MANUEL,114896,43.7
SANTIAGO,112725,46.5
EDUARDO,108492,42.9
VICTOR,104397,28.8
ROBERTO,98412,37.7
JAIME,97710,40
FRANCISCO JOSE,95972,38.9
MARIO,94940,23.6
IGNACIO,91455,38
ALFONSO,88026,49.3
MARCOS,86360,23.7
SALVADOR,85293,51.9
RICARDO,84282,47.1
JORDI,83330,37.1
EMILIO,77443,55.4
JULIAN,71608,55.5
GUILLERMO,71481,32.7
JULIO,70909,53.1
GABRIEL,69686,36.6
TOMAS,68010,52.7
AGUSTIN,66454,54.4
JOSE MIGUEL,65616,42.5
HUGO,64375,9
MARC,64203,18.5
GONZALO,63121,30.9
JOSE RAMON,60383,50.1
MOHAMED,60078,33.8
FELIX,60041,56.8
JOAN,56731,40.9
NICOLAS,55053,29.3
ISMAEL,54684,27.3
CRISTIAN,53137,21
SAMUEL,50810,19.1
MARTIN,48883,34.6
JOSEP,48737,52.3
MARIANO,48675,58.9
AITOR,48144,20.5
JUAN FRANCISCO,48076,43.4
DOMINGO,47972,59.6
ALFREDO,45488,51.1
JOSE CARLOS,45451,40.6
SEBASTIAN,45131,49
HECTOR,44250,19.5
CESAR,42909,38
FELIPE,42823,53.2
IKER,41154,12.1
JOSE ANGEL,41073,41.8
JOSE IGNACIO,40199,46.7
VICTOR MANUEL,39366,37.2
ALEX,37572,12.1
LUIS MIGUEL,37209,40.6
GREGORIO,36680,60
RODRIGO,35195,21.4
JOSE FRANCISCO,35135,45.4
LUCAS,34796,16.6
JUAN LUIS,34755,44.5
ALBERT,34010,31.1
XAVIER,34008,31.4
LORENZO,33042,54.2
ESTEBAN,32014,49.4
CRISTOBAL,31927,51.3
ANTONIO JOSE,30712,40.1
ARTURO,30146,42.8
EUGENIO,29909,58.8
BORJA,29814,22.7
PAU,28277,14.4
JOSE JAVIER,27953,42.5
JUAN MIGUEL,27295,42.7
JESUS MARIA,26945,51.5
ANTONIO JESUS,26667,33.8
JAUME,26510,44.5
FRANCISCO MANUEL,26108,38.5
AARON,26017,12.6
VALENTIN,25813,53.7
ISAAC,25694,29.4
GERMAN,25572,42.9
JONATHAN,24548,23.8
PEDRO JOSE,24467,42.9
JOSE VICENTE,24253,47.1
MATEO,24096,24.5
MOHAMMED,23762,35.9
ABEL,23635,30.5
ERIC,23504,13.2
ASIER,23502,19.2
JOEL,23382,12.9
MOISES,23005,35.6
ADOLFO,22934,53.8
JUAN RAMON,22626,47.4
MIKEL,22395,23.7
SERGI,22233,21.2
CHRISTIAN,22074,20.3
JUAN PEDRO,21989,44.7
BENITO,21623,60.5
AHMED,21589,41
ISIDRO,21483,56.9
MANUEL JESUS,21146,36.7
IÑIGO,21047,28.5
UNAI,20833,15.6
ERNESTO,20823,48.7
BERNARDO,20638,54.9
GERARDO,20231,53
DARIO,19967,18.3
IZAN,19852,5.8
GERARD,19784,18.3
CARMELO,19753,55.5
MIQUEL,19696,38.3
JON,19490,22.8
ANTONIO MANUEL,19299,38.9
PASCUAL,19212,57.9
ISRAEL,19184,28.3
FEDERICO,18923,53
ORIOL,18536,19.3
FRANCESC,18533,44.6
POL,18495,11.8
OMAR,18401,24.7
ELOY,18167,38.4
JONATAN,17763,26.7
ARNAU,17762,12.5
BRUNO,17573,18.9
BARTOLOME,17542,57.9
JESUS MANUEL,17498,43.1
JOSE ALBERTO,17396,40.4
MARCELINO,17206,62.3
JOSEP MARIA,16970,54.7
JUAN JESUS,16892,40.8
LUIS ALBERTO,16587,41.8
FERMIN,16359,56.3
PERE,16042,49.4
BENJAMIN,15996,48.5
IÑAKI,15966,34.8
AURELIO,15667,60.6
MARCO,15616,15.1
LLUIS,15586,45.4
ANTONI,15445,45.9
ADRIA,15438,15
ELIAS,15428,41.6
ROGER,15375,22.3
CARLES,15327,34.1
PEDRO ANTONIO,15183,45.6
KEVIN,14977,15.6
JOSE ENRIQUE,14666,44.7
MATIAS,14608,45.7
MARCO ANTONIO,14471,36.1
JUAN PABLO,14469,34.8
ALONSO,14447,32.8
EUSEBIO,14413,61.7
ANGEL LUIS,14392,45
JACINTO,14320,60.3
JUAN IGNACIO,14018,44.9
CARLOS ALBERTO,13887,40.8
VICTORIANO,13820,62.5
GUILLEM,13758,17.6
JERONIMO,13748,53.8
FRANCISCO JESUS,13544,35.2
ADAM,13514,7.8
ANDER,13405,17.6
ALEXANDER,13187,25.4
ISIDORO,12952,60.2
ROMAN,12895,45.6
JOSE JUAN,12857,46.3
GUSTAVO,12747,39.6
MARTI,12742,17.6
MANUEL ANGEL,12725,45.6
SAUL,12667,17.4
XABIER,12657,24.2
TEODORO,12612,63.3
GORKA,12564,25.3
DIONISIO,12555,62
FERRAN,12431,26.8
BLAS,12357,56.5
ABRAHAM,12315,22.6
DAMIAN,12286,39.6
CANDIDO,12276,61.5
LUIS FERNANDO,12269,44.6
JUAN BAUTISTA,12264,55.5
SAID,12210,37.5
FLORENCIO,12205,63.8
LUIS MANUEL,12195,41.9
JUSTO,12174,60.9
ARMANDO,12068,50.2
SANTOS,12041,58.2
CARLOS JAVIER,11955,38.1
ENRIC,11948,39.8
PEDRO LUIS,11749,46.9
GINES,11706,51.8
JOSE JOAQUIN,11234,46.2
ERIK,11215,10.4
LEONARDO,11193,42.1
RACHID,11189,36.3
JUAN MARIA,11161,51.1
JOSE DAVID,11117,29.9
YOUSSEF,11108,23.6
ALEIX,11080,14.5
EMILIANO,11066,61.3
EDUARD,10905,31.7
SERAFIN,10850,59.5
YERAY,10790,14.6
OLIVER,10747,17.3
FAUSTINO,10727,62.3
FRANCISCO ANTONIO,10296,44.2
JULEN,10283,16
MAXIMO,10196,55.6
FIDEL,10094,57.1
EMILIO JOSE,9888,35.1
JOSE ANDRES,9883,43.8
RAMIRO,9852,56
AMADOR,9844,58.1
LUIS ANTONIO,9829,47.2
LUIS MARIA,9829,53.5
JESUS ANGEL,9798,45.2
JAIRO,9747,20
CLAUDIO,9587,52.9
JULIO CESAR,9585,41.9
ION,9557,39.7
ALI,9554,33.8
EDGAR,9541,21.1
ROGELIO,9532,58.5
ENEKO,9524,17.4
LUIS ANGEL,9429,45
JAN,9420,12
MUSTAPHA,9317,39.9
SIMON,9297,42.2
LUCIANO,9180,59.7
LEO,9169,3.6
MANUEL ANTONIO,8967,47.4
IGOR,8913,32.9
MODESTO,8878,62
FLORENTINO,8869,64.2
FRANCISCO MIGUEL,8788,40.2
JACOBO,8718,26.9
JOAQUIM,8712,49.3
PEDRO MANUEL,8712,42.7
ALEXANDRE,8688,27.3
ILDEFONSO,8655,56.9
GHEORGHE,8631,45.3
EZEQUIEL,8625,34.6
ALEXIS,8553,23.7
JUAN DIOS,8501,47.9
JOSE FERNANDO,8407,46.6
VASILE,8359,42.8
PAULINO,8358,62
ANDREU,8222,28.9
JUAN VICENTE,8173,47.4
AVELINO,8138,63.1
CELESTINO,8135,62.5
CONSTANTINO,8098,59.4
ELADIO,8061,61.2
SATURNINO,8011,65.7
MANUEL JOSE,8004,46.6
HASSAN,7966,40
LEANDRO,7965,49
IOAN,7919,44.8
JUAN DIEGO,7884,31.8
CARLOS MANUEL,7865,40.4
ANTONIO JAVIER,7820,37.5
JOSE DANIEL,7815,34
ANTONIO MIGUEL,7785,42.2
ANTONIO LUIS,7719,44.6
RUFINO,7714,64.1
JUAN ANDRES,7686,42.9
LUIS JAVIER,7586,43.1
PEDRO MARIA,7586,55.5
CAYETANO,7464,46.4
BIEL,7449,6.2
JORGE LUIS,7421,40.1
PEDRO JESUS,7362,39.4
LUIS CARLOS,7321,43.9
JOSUE,7188,24.3
ROBERT,7129,36.3
NIL,7105,8.9
YAGO,7098,11.9
JUAN ANGEL,7080,46
IAN,7058,11.2
GASPAR,7027,55.5
FABIAN,7021,34.4
FRANCESC XAVIER,7014,45
NESTOR,7005,28.7
ANGEL MANUEL,6948,41.5
CLEMENTE,6938,59.2
MANEL,6915,32.5
BASILIO,6819,59.4
FELICIANO,6785,63.7
IMANOL,6706,27.6
RAIMUNDO,6698,58.9
MUHAMMAD,6689,34.4
HILARIO,6665,62.1
KHALID,6607,34
IAGO,6566,14.7
IBAI,6563,13
RICARD,6516,35.6
MARCELO,6406,47.2
EVARISTO,6399,60.9
CONSTANTIN,6383,42.6
ARITZ,6375,19.1
MAURO,6239,22.4
ANDONI,6238,28.3
MARCIAL,6193,58.8
ABDELLAH,6187,38.7
ABDELKADER,6150,44
LAUREANO,6148,60.8
ELISEO,6091,59.5
JUAN ALBERTO,6081,39.1
BENIGNO,6038,63.9
JOSU,6034,29.8
JESUS ANTONIO,6024,47.7
ANGEL MARIA,6011,51.5
NARCISO,6006,60.4
SEGUNDO,5898,65.4
CECILIO,5897,60.7
BERNARDINO,5895,61.2
JOSEBA,5867,32.1
FERNANDO JOSE,5851,40.6
AIMAR,5850,8.2
PATRICIO,5808,51.9
MARIAN,5790,38.1
ROBERTO CARLOS,5744,33.2
OIER,5662,11.5
HICHAM,5646,30.3
LUIS ENRIQUE,5641,40.1
BERNAT,5619,21.2
LEOPOLDO,5613,56.8
VALERIANO,5609,62.4
BRAIS,5600,13.2
MARCEL,5543,29.6
PEDRO PABLO,5536,44
DEMETRIO,5505,62.8
MARKEL,5488,9.6
ANTONIO FRANCISCO,5429,43.7
FLORIN,5428,34.9
NICOLAE,5400,41.6
FRANCISCO LUIS,5388,45.9
CESAREO,5384,62.4
BRAHIM,5358,35.7
BILAL,5344,14.3
CAMILO,5343,54
MAURICIO,5245,45.9
RAYAN,5240,4.1
ABDELAZIZ,5196,40.6
FABIO,5188,23.3
ANASTASIO,5181,66.1
DIDAC,5179,16.1
HAMZA,5126,15.3
CIPRIANO,5116,64.1
AYOUB,5105,11.6
ALAN,5104,21.3
PEDRO JAVIER,5079,37.2
MICHAEL,5068,34.6
LUCIO,5027,63.2
BRIAN,4984,22.8
OCTAVIO,4954,51.5
BIENVENIDO,4953,59.8
RODOLFO,4950,53.8
ANSELMO,4890,60.7
BALTASAR,4851,57.9
ANTON,4848,24.3
BERNABE,4839,54
PEDRO MIGUEL,4838,43.2
AMADEO,4765,59.5
ROQUE,4763,49.1
LAZARO,4734,53.9
CARLOS JOSE,4714,40.7
TEOFILO,4704,66.2
EULOGIO,4699,62.9
JOSE FELIX,4693,48.4
CASIMIRO,4674,64.6
LUCA,4672,14.3
PLACIDO,4659,60.5
MANUEL ALEJANDRO,4642,29.1
JOSE PEDRO,4637,46.4
FRANCISCO BORJA,4634,33.8
ADAN,4632,20
JOSE GABRIEL,4613,40.8
ABDERRAHIM,4566,36.2
HAMID,4556,38.5
JESUS MIGUEL,4536,42.3
FULGENCIO,4528,59.3
NOEL,4510,20.7
CELSO,4508,59.3
MANUEL FRANCISCO,4500,47.3
LUIS FRANCISCO,4465,43
KARIM,4450,26.9
JOSE RAFAEL,4428,46.7
FRANCISCO ASIS,4415,42.8
BALDOMERO,4411,59.8
JUAN DAVID,4392,23.3
ALAIN,4384,21.4
MAXIMINO,4359,63.1
HERMINIO,4357,62.5
IGNASI,4312,32.7
ENZO,4277,4.8
ALEXANDRU,4272,33.1
PELAYO,4267,20.7
JOSE DOMINGO,4253,47.3
ABDESLAM,4250,47
JUAN ENRIQUE,4249,44.6
PAUL,4237,32.9
IBRAHIM,4213,19.1
JESUS JAVIER,4174,42.5
MIHAI,4133,38.8
AQUILINO,4116,61.6
ALBERTO JOSE,4099,38.4
JORGE JUAN,4097,42.1
GUMERSINDO,4095,64
STEFAN,4089,39
ANAS,4078,8.8
BONIFACIO,4059,65.1
MARIUS,4054,33.3
PABLO JOSE,4035,33.6
DRISS,4026,42
VICTORINO,4014,66.7
ELOI,3981,17
NORBERTO,3973,51.2
MARINO,3972,58.9
VICENTE JOSE,3956,45.9
DENIS,3942,18.2
VICTOR JOSE,3942,36.4
VIDAL,3940,57.7
ORLANDO,3919,46.4
HIPOLITO,3899,63.1
LUIS ALFONSO,3890,43.2
ANIBAL,3875,41.4
MELCHOR,3860,57.8
JAMAL,3850,34.9
ELEUTERIO,3847,65.6
JUAN GABRIEL,3847,34.4
JOSE ALEJANDRO,3836,33.7
JOSE PABLO,3825,39.8
YASSINE,3818,19.5
JUAN FERNANDO,3813,43.9
BEÑAT,3812,15
VICENT,3809,28.6
GAEL,3795,5.2
CARLOS ENRIQUE,3794,43.7
ARSENIO,3790,62.9
ROSENDO,3789,59.5
MAMADOU,3788,35.2
VIRGILIO,3722,61.5
IBON,3710,27.4
ANTONIO MARIA,3709,51.2
HIGINIO,3706,62.5
MARCOS ANTONIO,3699,38.2
JOSE TOMAS,3678,46.3
AZIZ,3650,35.3
IBAN,3624,31.9
DUMITRU,3615,43.8
JOSE JESUS,3604,47.9
URBANO,3582,64.3
GUSTAVO ADOLFO,3543,40
SAMIR,3535,27.8
CARLOS ANTONIO,3529,41.4
SEVERINO,3528,65
GAIZKA,3517,23.6
JOSE ALFONSO,3508,47.4
JOSE EMILIO,3506,48.9
AUGUSTO,3497,54.9
MAXIMILIANO,3440,51.1
CEFERINO,3434,63.3
EDUARDO JOSE,3430,38.6
PEDRO ANGEL,3414,44.4
VENANCIO,3414,63.9
IONEL,3407,40.6
MIGUEL ANTONIO,3398,45.2
NOE,3387,22.8
ANTONIO DAVID,3386,25.4
ABELARDO,3373,58.3
MAX,3353,9.9
LLUC,3346,9.4
ISAIAS,3342,45.5
JOSE EDUARDO,3337,44.7
FRANCISCO RAMON,3324,45.7
ALEJANDRO JOSE,3323,28.1
INOCENCIO,3322,65.1
LUIS EDUARDO,3292,37
PEDRO JUAN,3292,49.3
MOUSSA,3290,33.6
AXEL,3281,14.1
NABIL,3274,22.6
ANGEL JOSE,3255,46
ENRIQUE JOSE,3242,42.6
PRIMITIVO,3231,66.7
ISMAIL,3222,20.2
ZAKARIA,3203,13.6
JOSE JULIAN,3199,46.9
JOSE BENITO,3186,56
ALEJO,3177,41.3
BAUTISTA,3170,66.1
JESUS ALBERTO,3154,38.6
JORGE MANUEL,3154,38.8
MANUEL MARIA,3141,50.5
JOSE RAUL,3113,39.1
NOUREDDINE,3102,37.1
ADIL,3099,28
GENARO,3073,60.7
JOSE AGUSTIN,3071,49.4
YASSIN,3071,13.1
AYMAN,3066,7.1
MIMOUN,3063,44.1
DYLAN,3052,5.5
JUAN RAFAEL,3049,44.8
BRAULIO,3038,56.6
JOSE RICARDO,3037,46.5
ARKAITZ,3035,26.2
NEMESIO,3016,65.2
CONRADO,3011,56.9
PRUDENCIO,2995,63.3
AGAPITO,2983,67
ANDREI,2981,25.5
RICHARD,2974,35.3
DIEGO JOSE,2970,32.9
ALESSANDRO,2969,25.7
LUIS FELIPE,2965,41.5
JON ANDER,2964,25.4
JOHN,2958,51.2
UNAX,2958,6.5
FERNANDO JAVIER,2957,41.6
JORGE ANTONIO,2951,39.7
LANDER,2946,18.9
DELFIN,2941,61.8
LEONCIO,2940,65.6
MOHAMMAD,2937,40.5
ANGEL ANTONIO,2936,45.7
ENDIKA,2934,21.3
VIOREL,2920,42.7
VICTOR HUGO,2899,36.6
CARLOS ANDRES,2894,30.2
CARLOS JESUS,2892,37.9
SECUNDINO,2891,65.7
LUIS JOSE,2858,44.7
JUAN CRUZ,2840,52.6
INDALECIO,2832,59.3
PETER,2811,54
FAUSTO,2810,58.5
AGUSTI,2807,52.9
OVIDIO,2765,63.2
ANXO,2760,12.2
JOSE JULIO,2758,48.1
HUMBERTO,2750,46.4
YOUNES,2747,21.8
URKO,2734,19.5
KILIAN,2733,14.5
AMBROSIO,2730,64.7
ANICETO,2700,65.1
IONUT,2695,28.2
GABINO,2679,61.1
BRYAN,2677,12.8
GENIS,2675,20.2
MOSTAFA,2665,41
ESTEVE,2662,45.4
JULIO ALBERTO,2654,33.6
EDER,2646,15.3
ANTONIO ANGEL,2644,43
JACOB,2640,28.2
PABLO ANTONIO,2631,37.1
CARLOS MIGUEL,2620,40
EFREN,2618,31.7
VLADIMIR,2616,40.1
YOEL,2607,10.7
SILVESTRE,2591,57.8
CESAR AUGUSTO,2583,40.7
PEDRO FRANCISCO,2576,45.6
ABDELLATIF,2568,38.3
ANTONIO RAMON,2559,47.5
SABINO,2551,63.6
GIOVANNI,2548,31.6
NICANOR,2546,59.3
JUAN SEBASTIAN,2545,29.8
LUIS MARIANO,2536,46.8
HELIODORO,2531,65.3
LLORENÇ,2529,37
ABDERRAHMAN,2522,37
DESIDERIO,2520,63.1
JUAN ALFONSO,2513,45.9
LEON,2508,46.6
HERMENEGILDO,2502,63.9
LINO,2497,57.2
SIXTO,2481,59.7
HORACIO,2463,58.3
SEVERIANO,2455,62.9
ANGEL JESUS,2453,38.3
IBRAHIMA,2452,33
RUBEN DARIO,2441,36.2
FRANCISCO DAVID,2436,30.4
ABDELILAH,2424,32.9
ARTUR,2420,29.7
ADRIANO,2416,41.4
HONORIO,2412,65.9
ESTANISLAO,2408,57.6
NACHO,2396,6.3
RAFAEL ANTONIO,2382,44
SALAH,2382,40.3
EKAITZ,2376,15.8
VICENTE JAVIER,2375,43.4
CARLOS LUIS,2372,45.1
GEORGE,2372,38.6
ADAY,2369,12.7
BELTRAN,2367,11.4
VICENÇ,2367,49.5
MHAMED,2362,44
VOLODYMYR,2361,42.3
JONAS,2360,28.5
LUIS IGNACIO,2351,46
FRANCISCO PAULA,2349,45.4
JULIO JOSE,2348,38.1
DAMASO,2346,58
ANTOLIN,2341,61.8
TEO,2339,5.3
YERAI,2334,9.8
ERNEST,2329,37.3
JOSE MARTIN,2329,48.5
MOURAD,2329,31.5
LAHCEN,2327,40
VENTURA,2322,58.5
NOAH,2316,5.3
OLEKSANDR,2298,36.9
ANGEL FRANCISCO,2294,44.5
EUSTAQUIO,2292,64.1
JESUS DAVID,2288,29.6
JOSE GREGORIO,2280,43.8
KAMAL,2273,29.8
WALID,2272,10.5
ANDRES FELIPE,2270,23.3
BENEDICTO,2268,65.1
JUAN DANIEL,2258,31.5
TONI,2258,14.3
YAHYA,2258,24.8
ALBINO,2257,63.7
TARIK,2247,27.8
JOSE ALFREDO,2240,47
NELSON,2233,34.7
CELEDONIO,2226,63.7
JUAN SALVADOR,2223,43.9
RENE,2222,38.5
RAFAEL ANGEL,2215,43.3
HERNAN,2205,27.2
THOMAS,2193,39
VICENTE MANUEL,2192,47
WENCESLAO,2182,56.4
IGNACIO JAVIER,2168,42.8
MIGUEL JOSE,2163,44.5
SILVERIO,2161,59.4
DIEGO JESUS,2159,32.8
MANUEL LUIS,2156,51.1
RAFAEL JESUS,2155,37
JESUS FRANCISCO,2147,45.9
FLORIAN,2142,50.6
JORGE ALBERTO,2142,43.1
NARCIS,2132,48.2
OLEGARIO,2124,64
ABDELKARIM,2120,32.5
ACHRAF,2120,13.9
ARCADIO,2120,60.7
SERVANDO,2116,60.1
NICASIO,2114,64.8
AMIN,2112,11.3
JONAY,2108,24.5
EPIFANIO,2106,65.4
JOSEP LLUIS,2105,49.3
ABRAHAN,2101,25.1
SEBASTIA,2101,45.6
FERNANDO MANUEL,2098,41.9
JUAN JAVIER,2097,41.1
XAVI,2094,5.3
OSCAR LUIS,2090,44.2
ARGIMIRO,2085,66.2
CARLOS EDUARDO,2085,34.6
THIAGO,2081,5.5
FOUAD,2077,32.5
AMADO,2074,61.6
EMMANUEL,2063,27
WILLIAM,2063,41.6
OSCAR MANUEL,2054,36.9
FARID,2047,37.4
EGOITZ,2041,22.4
GILBERTO,2040,52.6
EL HASSAN,2038,44.6
MANUEL RAMON,2037,50.4
FRANCISCO GABRIEL,2032,40
ROC,2032,9.9
CHRISTOPHER,2030,28.8
JOSE SALVADOR,2030,49.5
JOSE PASCUAL,2028,49.1
ULISES,2023,21.3
MANUEL ENRIQUE,2019,45.3
JOKIN,2018,24.4
JUSTINO,2014,65.5
JULIO ANTONIO,2010,49.7
COSTEL,1999,39.4
LUIS JESUS,1996,44.7
ABILIO,1994,64.7
BALBINO,1992,63.8
CARLOS MARIA,1989,48.5
IGNACIO JOSE,1973,39.4
RAFAEL JOSE,1966,42.8
RICARDO JOSE,1966,40.5
ANTONIO CARLOS,1963,43.6
AMANCIO,1962,61.3
PETRU,1961,43.4
DONATO,1953,65
MOUNIR,1952,28.5
MUSTAFA,1952,38
ANTONIO JUAN,1951,47.2
ZACARIAS,1950,55.4
VICTOR JAVIER,1947,35.5
FRANCESCO,1946,38.7
ANGEL MIGUEL,1930,46.4
MARIN,1918,46.8
CRESCENCIO,1908,69.1
DIEGO FERNANDO,1908,32.1
JOSE ROBERTO,1900,44.9
VICTORIO,1883,64.6
ANGEL DAVID,1882,27
ABDELKRIM,1879,41.2
TELMO,1873,18.3
CARLOS FRANCISCO,1872,41
JORGE ENRIQUE,1867,42.2
REMIGIO,1866,63.1
CARLOS DANIEL,1863,25.9
ALFONSO JOSE,1861,40
ROI,1860,14
ABDERRAHMANE,1859,38.1
BUENAVENTURA,1858,61.6
PABLO JESUS,1857,32.4
FRANCISCO VICENTE,1854,49
OUSSAMA,1841,15.2
IMAD,1839,19
DIMAS,1838,46.8
GIUSEPPE,1832,47.7
AURELIANO,1827,65.2
MARK,1826,21.5
IULIAN,1825,36.3
OIHAN,1820,7.6
FERNANDO JESUS,1816,39.3
ANDREA,1814,34.5
ILYAS,1814,9
JUAN DOMINGO,1809,49.6
PABLO MANUEL,1809,32.5
ABDELGHANI,1806,35.3
PERFECTO,1794,65.5
ANTONIO VICENTE,1791,49
ABDELMAJID,1785,39.4
JESUS JOSE,1783,51.9
ABDELALI,1780,33.7
ABDELHAK,1777,37
ILIAS,1777,10.4
JESUS RAMON,1777,48.2
ABDOULAYE,1776,35.1
DIEGO MANUEL,1775,34.5
GIL,1768,47.9
MANUEL VICENTE,1766,49.2
VASYL,1763,43.2
ALVARO JOSE,1762,28.3
ROMUALDO,1762,59.5
ANTONINO,1761,63.5
CARLOS DAVID,1758,29
ENRIQUE MANUEL,1758,43.4
DANIEL JESUS,1756,27.3
JAOUAD,1746,30.8
ALEJANDRO MANUEL,1744,27.2
PATRICK,1741,32.3
AIRAM,1730,17.1
LUIS ALFREDO,1728,40.4
TIMOTEO,1725,65.8
LUIS DAVID,1721,24.7
ANDRIY,1719,34.2
AMINE,1718,17.2
SORIN,1718,37.4
JOSE SANTIAGO,1716,49.4
JESUS IGNACIO,1715,46.8
ANGEL JAVIER,1710,41.4
BARTOMEU,1693,39.6
GUZMAN,1693,34.2
FRANCISCO RAFAEL,1687,43.4
JUAN ESTEBAN,1685,33.1
CIRILO,1678,67.1
ANDRE,1673,26.3
EMIL,1671,40
FRANCISCO JUAN,1670,48.2
MOHAMED AMIN,1669,7.1
DEREK,1668,18.2
LAURENTINO,1666,66.3
COSME,1663,53.8
DAN,1661,32.8
JESUS CARLOS,1661,46.8
AMIR,1660,12.6
LUIS RAMON,1660,49.3
MANUEL FERNANDO,1655,48.1
ANTONIO RAFAEL,1654,44.7
ANTHONY,1646,34
AUREL,1643,44.2
JOSE EUGENIO,1642,50.5
KOLDO,1639,29.9
DANEL,1636,8.7
LUIS ALEJANDRO,1636,30.2
IMRAN,1630,16.5
JOSE IVAN,1628,32.9
MIQUEL ANGEL,1628,34.8
JUAN AGUSTIN,1627,51
ARIEL,1626,23.6
JOSE JORGE,1624,46.5
WALTER,1619,46.4
GEORGI,1614,35.9
FRANCISCO DANIEL,1609,32.4
FRANK,1609,38.1
ANDRES JESUS,1608,35.8
EMETERIO,1607,67
DANIEL ALEJANDRO,1604,22.3
FERNANDO LUIS,1604,48.5
ALFONSO CARLOS,1600,51
SOUFIANE,1599,20.3
ABDELHAMID,1597,40
ILIE,1586,42.7
MANUEL ALBERTO,1586,41.9
DOROTEO,1584,67.6
AMALIO,1583,60.3
QUIM,1583,8.7
SANTIAGO JOSE,1583,38.8
HODEI,1578,10.8
MAHAMADOU,1572,28.4
LUIS VICENTE,1570,47.7
JUAN FELIPE,1568,37.6
JUAN MARCOS,1567,38.5
SANDRO,1567,21.6
JOAN CARLES,1563,42.6
JOSE GUILLERMO,1562,44.8
ALBERTO MANUEL,1560,38.1
MIGUEL MARIA,1555,52.5
NIKOLAY,1555,37.7
RAFEL,1549,41.9
FRANCISCO ANGEL,1548,45.5
MANUEL CARLOS,1546,47.7
ENRIQUE JAVIER,1545,41.8
AMABLE,1542,64.6
JESUS LUIS,1540,52.6
PABLO JAVIER,1532,32.7
JOSE MARIO,1530,45.6
ROLANDO,1525,44.9
ETHAN,1520,8.4
ABDESSAMAD,1518,28.9
JOSHUA,1517,20.7
LISARDO,1515,56.9
EDELMIRO,1514,64.5
JOAN JOSEP,1513,44.8
PAVEL,1510,36.1
MICHEL,1508,35.3
MIGUEL JESUS,1503,38.3
REYES,1499,54.4
JOSE FELIPE,1491,49.7
OSCAR JAVIER,1486,37.8
SERGIO MANUEL,1485,33.4
FRUCTUOSO,1482,66.6
JUAN TOMAS,1480,50.3
JUAN MARTIN,1476,44.8
RAMON JOSE,1473,48.7
OUSMANE,1471,34.5
JOSE DIEGO,1468,39.7
ONOFRE,1467,55
KEPA,1466,34.1
HERIBERTO,1463,51.4
EKAIN,1460,11.1
VIKTOR,1459,38.3
JOSEP ANTONI,1457,47.2
MARCIANO,1454,67.2
AMAR,1453,44.3
MATEU,1450,27.7
FACUNDO,1449,52.9
NATALIO,1449,57.6
OLEG,1449,39
DAVID JOSE,1444,32.9
JOSE DAMIAN,1444,42.8
ERICK,1443,9.8
MARÇAL,1443,18.7
CIRIACO,1440,68.1
JUAN EMILIO,1438,45.1
EVELIO,1433,61.7
PAULO,1431,29.4
MOUSTAPHA,1429,36.9
CRISTOFER,1428,21.7
SAMI,1426,13.4
JULIO MANUEL,1424,45.2
JOSE JAIME,1423,47.3
ALBERTO JESUS,1421,35.5
SENEN,1417,50.9
DENNIS,1415,23.8
CATALIN,1413,32.3
PAOLO,1411,36.3
FERNANDO ANTONIO,1410,44
MACARIO,1407,65.9
ALBERTO JAVIER,1402,38.8
JOSEP ORIOL,1402,38.4
JAMES,1401,47.7
FREDERIC,1398,45.8
DANIEL JOSE,1397,31.5
DIEGO ANTONIO,1395,36.1
JOSE MARIANO,1394,50.1
STEFANO,1392,34.7
CALIXTO,1391,62.9
AKRAM,1386,9.3
XOEL,1385,7.3
MANUEL DAVID,1384,32.3
ANOUAR,1378,20.3
IGNACIO MARIA,1378,49.4
ABDELHADI,1374,37.3
AMANDO,1373,60.9
ANIOL,1370,10.2
EL MOSTAFA,1369,42.8
UBALDO,1366,59.3
GUILLERMO JOSE,1365,34.9
JUAN CAMILO,1364,20.4
DAVID JESUS,1360,30.5
REDA,1359,13.9
ANER,1358,8.7
JOSE ESTEBAN,1354,47.8
CORNEL,1353,42.7
SAAD,1352,11.4
